metro_area_city,income,pop
"cullman, al",26391,16034
"cullowhee, nc",9728,6228
"cumberland, md-wv",23343,19284
"dallas-fort worth-arlington, tx",30831,884004
"dalton, ga",23795,33665
"danville, il",21055,30479
"danville, ky",23235,16769
"danville, va",22826,40044
"daphne-fairhope-foley, al",34104,23312
"davenport-moline-rock island, ia-il",28750,60040
"dayton, oh",33622,26869
"dayton, tn",19872,140407
"decatur, al",17561,7358
"decatur, il",27998,54445
"decatur, in",26571,70746
"defiance, oh",23059,9858
"del rio, tx",20660,35760
"deltona-daytona beach-ormond beach, fl",27178,68567
"deming, nm",17090,13880
"denver-aurora-lakewood, co",37628,421478
"deridder, la",24920,10588
"des moines-west des moines, ia",37393,141068
"detroit-warren-dearborn, mi",22789,299302
"dickinson, nd",37091,23133
"dixon, il",23165,15115
"dodge city, ks",22075,27104
"dothan, al",28980,68941
"douglas, ga",18827,11695
"dover, de",25130,38166
"dublin, ga",19481,15881
"dubois, pa",26473,7364
"dubuque, ia",29135,57882
"duluth, mn-wi",31216,85618
"dumas, tx",24675,13827
"duncan, ok",25139,22344
"dunn, nc",21180,9718
"durango, co",41509,18973
"durant, ok",21635,18673
"durham-chapel hill, nc",38407,171522
"dyersburg, tn",28661,16314
"eagle pass, tx",18898,29684
"east stroudsburg, pa",26679,10433
"easton, md",36362,16671
"eau claire, wi",29252,68802
"edwards, co",42942,10266
"effingham, il",29637,12511
"el campo, tx",27783,11539
"el centro, ca",19465,44079
"el dorado, ar",24370,17651
"el paso, tx",22734,681728
"elizabeth city, nc",19691,17751
"elizabethtown-fort knox, ky",29417,20206
"elk city, ok",25603,11577
"elkhart-goshen, in",21695,43287
"elkins, wv",22338,6990
"elko, nv",35270,20452
"ellensburg, wa",21266,21111
"elmira, ny",18207,27054
"emporia, ks",24696,24598
"enid, ok",27071,49688
"enterprise, al",29585,28376
"erie, pa",21599,95508
"escanaba, mi",23440,12160
"espanola, nm",21349,10044
"eugene, or",31021,172622
"eureka-arcata-fortuna, ca",25871,19133
"evanston, wy",26221,11641
"evansville, in-ky",24675,117979
"fairbanks, ak",31060,30917
"fairfield, ia",27974,10425
"fairmont, wv",23181,18388
"fallon, nv",25003,8645
"fargo, nd-mn",35205,124662
"faribault-northfield, mn",27554,22319
"farmington, mo",21656,19113
"farmington, nm",26960,44372
"fayetteville, nc",24823,211657
"fayetteville-springdale-rogers, ar-mo",29046,79128
"fergus falls, mn",29683,13794
"fernley, nv",27783,21476
"findlay, oh",31237,41225
"fitzgerald, ga",14992,8662
"flagstaff, az",26954,75038
"flint, mi",17086,95538
"florence, sc",30530,38531
"florence-muscle shoals, al",27343,27686
"fond du lac, wi",28311,43263
"forest city, nc",19509,7162
"forrest city, ar",14742,13820
"fort collins, co",34482,170243
"fort dodge, ia",24280,23888
"fort leonard wood, mo",21277,15061
"fort madison-keokuk, ia-il-mo",23890,10239
"fort morgan, co",22169,11463
"fort polk south, la",19938,9038
"fort smith, ar-ok",25487,87891
"fort wayne, in",26970,270402
"frankfort, in",20975,15884
"frankfort, ky",29288,27755
"fredericksburg, tx",33577,11496
"freeport, il",24576,23775
"fremont, ne",26106,26383
"fremont, oh",22203,15917
"fresno, ca",23564,531576
"gadsden, al",21312,35000
"gaffney, sc",17543,12609
"gainesville, fl",23018,133997
"gainesville, ga",26411,43232
"gainesville, tx",20574,16886
"galesburg, il",21537,30197
"gallup, nm",23146,21493
"garden city, ks",24037,26408
"gardnerville ranchos, nv",30913,11312
"georgetown, sc",21243,8742
"gettysburg, pa",20658,7724
"gillette, wy",32783,32030
"glasgow, ky",20426,14485
"glens falls, ny",29734,14262
"glenwood springs, co",33582,9930
"gloversville, ny",21140,14747
"goldsboro, nc",22420,34186
"grand forks, nd-mn",31718,55839
"grand island, ne",27203,51267
"grand junction, co",30452,63597
"grand rapids, mi",26120,201013
"grants pass, or",23806,38170
"grants, nm",22185,8942
"great bend, ks",25988,14974
"great falls, mt",30130,58434
"greeley, co",26222,108649
"green bay, wi",26618,104578
"greeneville, tn",23728,14891
"greenfield town, ma",32474,17258
"greensboro-high point, nc",27915,204750
"greensburg, in",27291,11891
"greenville, ms",19520,29085
"greenville, nc",25906,93400
"greenville, oh",24589,12615
"greenville-anderson-mauldin, sc",32809,41240
"greenwood, ms",21709,13561
"greenwood, sc",18885,23403
"grenada, ms",21084,12219
"gulfport-biloxi-pascagoula, ms",24692,46538
"guymon, ok",19455,10996
"hagerstown-martinsburg, md-wv",24139,28777
"hailey, id",24046,8689
"hammond, la",21394,21437
"hanford-corcoran, ca",18644,39831
"hannibal, mo",23360,17346
"harrisburg-carlisle, pa",26642,34234
"harrison, ar",22896,13080
"harrisonburg, va",23202,53016
"hartford-west hartford-east hartford, ct",35623,78875
"hastings, ne",28156,24692
"hattiesburg, ms",21673,45863
"hays, ks",29115,20744
"heber, ut",27584,17082
"helena, mt",35976,33124
"helena-west helena, ar",15550,10299
"henderson, nc",22170,14911
"hereford, tx",20930,14622
"hermiston-pendleton, or",23572,17285
"hickory-lenoir-morganton, nc",24488,25220
"hillsdale, mi",21064,8003
"hilo, hi",29915,43263
"hilton head island-bluffton-beaufort, sc",42737,26284
"hinesville, ga",22555,33273
"hobbs, nm",25437,39141
"holland, mi",27225,33216
"homosassa springs, fl",23445,13791
"hood river, or",37026,7801
"hot springs, ar",24562,38797
"houghton, mi",16354,7754
"houma-thibodaux, la",26919,23560
"houston-the woodlands-sugar land, tx",46662,850858
"hudson, ny",25033,6072
"huntingdon, pa",21146,6937
"huntington, in",21866,17138
"huntington-ashland, wv-ky-oh",22824,32628
"huntsville, al",35634,200574
"huntsville, tx",15065,42241
"huron, sd",24253,13380
"hutchinson, ks",26472,40383
"hutchinson, mn",35834,13983
"idaho falls, id",28520,62888
"indiana, pa",16396,13167
"indianapolis-carmel-anderson, in",37117,344072
"indianola, ms",16911,9037
"ionia, mi",15624,11168
"iowa city, ia",29284,75130
"iron mountain, mi-wi",25997,7309
"ithaca, ny",22600,30837
"jackson, mi",19986,32440
"jackson, ms",21906,160628
"jackson, oh",23201,6230
"jackson, tn",25595,67191
"jackson, wy-id",40192,10559
"jacksonville, fl",30064,911507
"jacksonville, il",23517,18603
"jacksonville, nc",23092,72436
"jacksonville, tx",18800,14815
"jamestown, nd",28980,15084
"jamestown-dunkirk-fredonia, ny",23040,17039
"janesville-beloit, wi",25908,50750
"jasper, in",33693,15724
"jefferson city, mo",28073,42708
"jefferson, ga",30462,12032
"jesup, ga",19317,9841
"johnson city, tn",30939,66906
"johnstown, pa",16684,19195
"jonesboro, ar",26813,78394
"joplin, mo",26448,50925
"junction city, ks",25035,21482
"juneau, ak",43680,31974
"kahului-wailuku-lahaina, hi",29352,17784
"kalamazoo-portage, mi",29776,62822
"kalispell, mt",26865,24565
"kankakee, il",20347,26024
"kansas city, mo-ks",27146,324143
"kapaa, hi",33995,10699
"kearney, ne",30014,33867
"keene, nh",30993,22786
"kendallville, in",22813,9894
"kennett, mo",25248,10094
"kennewick-richland, wa",33915,71286
"kerrville, tx",29685,23754
"ketchikan, ak",34590,8284
"key west, fl",44387,24118
"kill devil hills, nc",30885,7333
"killeen-temple, tx",25437,115052
"kingsport-bristol-bristol, tn-va",26307,32625
"kingston, ny",27716,22793
"kingsville, tx",22011,25315
"kinston, nc",26578,20041
"kirksville, mo",19351,17602
"klamath falls, or",24534,21753
"knoxville, tn",26340,187603
"kokomo, in",26398,58020
"la crosse-onalaska, wi-mn",32964,35085
"la grande, or",24663,13614
"laconia, nh",33387,16581
"lafayette, la",32998,126185
"lafayette-west lafayette, in",23619,61358
"lagrange, ga",20494,30305
"lake charles, la",29254,78396
"lake city, fl",23465,12352
"lake havasu city-kingman, az",29682,37226
"lakeland-winter haven, fl",26897,78545
"lamesa, tx",22062,9147
"lancaster, pa",22295,59265
"lansing-east lansing, mi",22171,83177
"laramie, wy",26255,32711
"laredo, tx",18771,262491
"las cruces, nm",24103,103432
"las vegas, nm",20080,12919
"las vegas-henderson-paradise, nv",32886,398225
"laurel, ms",21534,18338
"laurinburg, nc",18581,15002
"lawrence, ks",31228,98193
"lawrenceburg, tn",21654,11035
"lawton, ok",24482,93025
"lebanon, mo",20696,14798
"lebanon, pa",19479,25879
"levelland, tx",23439,13502
"lewisburg, pa",28210,5708
"lewisburg, tn",21177,12368
"lewiston, id-wa",29325,32788
"lewiston-auburn, me",28376,29819
"lewistown, pa",21561,8125
"lexington, ne",21262,10115
"lexington-fayette, ky",34442,323152
"liberal, ks",20606,19174
"lima, oh",18868,36659
"lincoln, il",26519,13524
"lincoln, ne",31301,289102
"little rock-north little rock-conway, ar",30107,110284
"lock haven, pa",19221,9083
"logan, ut-id",19274,51542
"logan, wv",21936,32019
"logansport, in",19927,17584
"london, ky",24604,8068
"longview, tx",26318,81631
"longview, wa",27707,38440
"los alamos, nm",60885,12019
"los angeles-long beach-anaheim, ca",32016,1597523
"louisville/jefferson county, ky-in",30943,617638
"lubbock, tx",27496,258862
"ludington, mi",28321,8108
"lufkin, tx",23489,35021
"lumberton, nc",20108,20484
"lynchburg, va",23863,82168
"macomb, il",21063,17413
"macon, ga",17883,12947
"madera, ca",17866,65860
"madison, in",24156,11861
"madison, wi",38285,259680
"madisonville, ky",24158,18621
"magnolia, ar",20020,11467
"malone, ny",24163,5600
"malvern, ar",19968,10931
"manchester-nashua, nh",35897,101014
"manhattan, ks",26640,54604
"manitowoc, wi",27826,32579
"mankato-north mankato, mn",31485,28439
"mansfield, oh",20452,46599
"marietta, oh",27820,13356
"marinette, wi-mi",27021,10539
"marion, in",18867,27930
"marion, nc",18178,7891
"marion, oh",18801,35883
"marquette, mi",25601,20995
"marshall, mn",27571,13487
"marshall, mo",20279,12841
"marshall, tx",21090,22831
"marshalltown, ia",24600,26666
"martin, tn",18576,10484
"martinsville, va",22836,12554
"maryville, mo",19215,11599
"mason city, ia",30429,26931
"mayfield, ky",18534,9817
"maysville, ky",26507,8728
"mcalester, ok",24512,17814
"mcallen-edinburg-mission, tx",21760,109589
"mccomb, ms",13607,13013
"mcminnville, tn",21858,13769
"mcpherson, ks",31683,13061
"meadville, pa",23670,12655
"medford, or",27061,83072
"memphis, tn-ms-ar",25605,651073
"menomonie, wi",22934,16551
"merced, ca",20488,83676
"meridian, ms",23116,36347
"merrill, wi",26955,9048
"mexico, mo",22133,11517
"miami, ok",19464,13088
"miami-fort lauderdale-west palm beach, fl",35305,254118
"michigan city-la porte, in",21909,26292
"middlesborough, ky",14632,9084
"midland, mi",37878,41701
"midland, tx",40252,146038
"milledgeville, ga",15928,18704
"milwaukee-waukesha-west allis, wi",28892,240782
"mineral wells, tx",21171,15213
"minneapolis-st. paul-bloomington, mn-wi",37062,274215
"minot, nd",35367,47382
"missoula, mt",30810,75516
"mitchell, sd",30367,15679
"moberly, mo",18379,13615
"mobile, al",27218,188720
"modesto, ca",27358,215196
"monroe, la",21532,47294
"monroe, mi",25204,19552
"montgomery, al",28191,198525
"montrose, co",27858,19782
"morehead city, nc",33780,9619
"morgan city, la",23159,10742
"morgantown, wv",25661,30549
"morristown, tn",19482,30193
"moscow, id",24041,25702
"moses lake, wa",25476,24086
"moultrie, ga",18771,14211
"mount airy, nc",28224,10208
"mount pleasant, mi",19984,24797
"mount pleasant, tx",19893,15978
"mount sterling, ky",20911,7231
"mount vernon, il",26267,14723
"mount vernon, oh",22881,16769
"mount vernon-anacortes, wa",34082,26766
"mountain home, ar",27919,12569
"mountain home, id",22992,14562
"muncie, in",20386,67999
"murray, ky",18749,19327
