metro_area_city,income,pop
"weatherford, ok",24983,12017
"weirton-steubenville, wv-oh",24489,18009
"wenatchee, wa",28630,34360
"west plains, mo",22764,12304
"wheeling, wv-oh",30615,26430
"whitewater-elkhorn, wi",22173,12457
"wichita falls, tx",24330,104683
"wichita, ks",28806,389938
"williamsport, pa",24358,28186
"williston, nd",43515,29033
"willmar, mn",24682,19869
"wilmington, nc",31846,123744
"wilmington, oh",23723,12366
"wilson, nc",24444,49459
"winchester, va-wv",30859,28078
"winnemucca, nv",39332,7754
"winona, mn",27540,26594
"winston-salem, nc",28821,247945
"wisconsin rapids-marshfield, wi",30242,18040
"woodward, ok",27414,12121
"wooster, oh",27338,26394
"worcester, ma-ct",27884,185428
"worthington, mn",22259,13099
"yakima, wa",23514,93637
"yankton, sd",30204,14687
"york-hanover, pa",23276,29825
"youngstown-warren-boardman, oh-pa",23098,46532
"yuba city, ca",26278,67010
"yuma, az",23613,98285
"zanesville, oh",19073,25158
"zapata, tx",18217,5089
