metro_area_city,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,average_listing_price,total_listing_count,year
"bainbridge, ga",178632.1428,68.41666667,99.875,15,0,8.666666667,10.08333333,242199.4056,78.5,2019
"bakersfield, ca",258281.8452,2392.166667,50.58333333,1049,59,635,510.8333333,314366.0235,2903,2019
"baltimore-columbia-towson, md",323465.1786,9550.916667,55.83333333,3853,212,3320,1192.416667,417196.8273,10743.33333,2019
"bangor, me",166543.5,712.25,100.875,175.6666667,3.333333333,150,68.91666667,203786.6078,781.1666667,2019
"baraboo, wi",252341.625,316.9166667,93.79166667,78.33333333,0,60,125.0833333,323416.6853,442,2019
"bardstown, ky",203302.6786,300,66.375,101.3333333,0.333333333,52.66666667,142.9166667,250633.8729,442.9166667,2019
"barnstable town, ma",581648.1667,3366.416667,88.875,833.6666667,11.66666667,660.6666667,558.25,949985.6092,3924.666667,2019
"barre, vt",296792.2619,346.6666667,124.1666667,70.66666667,2,51.33333333,90.16666667,365275.6521,436.8333333,2019
"bartlesville, ok",138580.8988,214.6666667,58.58333333,75.66666667,1.333333333,56.66666667,104.1666667,172322.5353,318.8333333,2019
"bastrop, la",106705.9524,103.6666667,115.625,14.33333333,0.333333333,18.66666667,0.25,126373.4027,103.9166667,2019
"batavia, ny",133757.7381,81.25,50.95833333,37,0,24,13.5,168459.5194,94.75,2019
"batesville, ar",170076.2857,157.6666667,106.75,28,0.333333333,14.66666667,1,202779.4314,158.6666667,2019
"baton rouge, la",244560.4167,4171.166667,82.29166667,1043.666667,59.66666667,1134.333333,360.25,310885.2418,4531.416667,2019
"battle creek, mi",149805.3572,389.5833333,56.45833333,152,2.333333333,115.6666667,13,201695.8142,402.5833333,2019
"bay city, mi",102399.8512,363.5833333,64.70833333,122.3333333,0.666666667,92,144.25,154636.813,507.8333333,2019
"bay city, tx",215901.6072,367,120.1666667,55.66666667,0.666666667,53.66666667,40,240336.0569,407,2019
"beatrice, ne",150210.9226,93.08333333,79.54166667,30.66666667,0,14.33333333,3.916666667,182005.1014,97,2019
"beaumont-port arthur, tx",192230.0417,1699,56.75,548.3333333,11,378.6666667,125.5,239378.5459,1824.5,2019
"beaver dam, wi",222697.4941,232.6666667,75.04166667,93,2.333333333,51.66666667,131.0833333,293474.1884,363.75,2019
"beckley, wv",139811.3095,526,100.4583333,95.33333333,1,76.33333333,60.66666667,199811.1075,586.6666667,2019
"bedford, in",157093.9107,150.4166667,76.41666667,45.66666667,0.666666667,28.66666667,47.66666667,216043.286,198.0833333,2019
"beeville, tx",145526.1905,76.25,127.9583333,15,0.666666667,8,2.5,207455.6894,78.75,2019
"bellefontaine, oh",167485.8929,211.0833333,69.33333333,73.33333333,0,62.33333333,90.08333333,223259.6538,301.1666667,2019
"bellingham, wa",440240.1786,664.75,58.33333333,263.6666667,2.333333333,139,244.1666667,563961.3646,908.9166667,2019
"bemidji, mn",231454.1667,215.9166667,79,61.66666667,0,46,96.33333333,256815.2456,312.25,2019
"bend-redmond, or",462127.3988,1228.833333,83.33333333,371.6666667,25,329.3333333,595.25,634468.7562,1824.083333,2019
"bennettsville, sc",78538.09524,53.83333333,99.33333333,12,0.333333333,5,6.416666667,122259.4246,60.25,2019
"bennington, vt",332445.2381,405.25,165.375,53.33333333,0.333333333,39,77.91666667,468024.7518,483.1666667,2019
"berlin, nh-vt",150442.2619,398.8333333,144.75,60.66666667,0.333333333,46.33333333,71.08333333,232774.6107,469.9166667,2019
"big rapids, mi",178235.6726,231.1666667,93.41666667,54,0.333333333,46.33333333,19.16666667,207229.5269,250.3333333,2019
"big spring, tx",169832.1429,93.08333333,57.16666667,37,0,26,25.33333333,225458.556,118.4166667,2019
"big stone gap, va",96679.82738,254.4166667,152.7083333,35,0,44.33333333,28.75,128057.2291,283.1666667,2019
"billings, mt",300175.5952,823.1666667,74.375,257.6666667,4,182.6666667,345,423443.6691,1168.166667,2019
"binghamton, ny",135229.1667,993.0833333,79.5,256.3333333,1.666666667,265.6666667,374.8333333,170171.5075,1367.916667,2019
"birmingham-hoover, al",249661.9286,4097.25,67.83333333,1435.666667,122.3333333,1001.666667,1391.083333,323360.1529,5488.333333,2019
"bismarck, nd",271141.7857,717.75,78.29166667,181.3333333,1.333333333,160.6666667,31.41666667,319852.0023,749.1666667,2019
"blackfoot, id",247873.2143,91.16666667,45.95833333,46,0.333333333,25.33333333,3.833333333,341793.5661,95,2019
"blacksburg-christiansburg-radford, va",254081.25,565.75,88.375,158,3,111.3333333,164.3333333,348100.8322,730.0833333,2019
"bloomington, il",145018.4524,856.5,84.41666667,323.3333333,2.333333333,241,355.9166667,182976.5367,1212.416667,2019
"bloomington, in",294704.7619,514.1666667,67.875,176.3333333,3,100.3333333,203.5833333,374733.198,717.75,2019
"bloomsburg-berwick, pa",172791.131,292.3333333,90.70833333,72,0,65,127.9166667,223128.313,420.25,2019
"bluefield, wv-va",131548.7679,511.5,122.8333333,81.33333333,2,75,26.16666667,172057.9126,537.6666667,2019
"blytheville, ar",98478.57143,211.6666667,147.5416667,29.33333333,0,21.33333333,5.916666667,120538.5811,217.5833333,2019
"bogalusa, la",166769.0476,124.5,92.625,27.33333333,0,22.66666667,31.91666667,309613.9751,156.4166667,2019
"boise city, id",361145.4107,2530.333333,41.33333333,1366,100,985.3333333,68.5,447201.6997,2598.833333,2019
"boone, ia",156231.5476,162.25,59.5,64.33333333,2,69.33333333,47.91666667,185149.4575,210.1666667,2019
"boone, nc",358903.4881,1082.166667,137,174,5,105,176.0833333,554860.782,1258.25,2019
"borger, tx",87583.35714,111.25,84,24.66666667,0,23.66666667,23.83333333,108953.7652,135.0833333,2019
"boston-cambridge-newton, ma-nh",583291.881,9825.083333,51.20833333,5195.333333,118.6666667,3038.333333,2839.916667,886703.3588,12665,2019
"boulder, co",620588.2738,1469.916667,46.5,764.3333333,46.33333333,504.3333333,929.3333333,988591.9901,2399.25,2019
"bowling green, ky",257627.381,747.25,72.70833333,200.6666667,3.666666667,154.3333333,167.5,304017.6243,914.75,2019
"bozeman, mt",504817.8572,554,73.41666667,175,5,107.6666667,327.75,815056.1884,881.75,2019
"bradford, pa",82481.54762,198.6666667,126.9583333,29.33333333,0,32,10.91666667,115223.3598,209.5833333,2019
"brainerd, mn",290483.3333,804.5,88.75,196,8,157.6666667,206,417770.9278,1010.5,2019
"branson, mo",221493.4524,1006.666667,108.6666667,204.3333333,6,161,240.4166667,282584.6213,1247.083333,2019
"breckenridge, co",671888.6905,765,89.41666667,197.3333333,7.666666667,116.6666667,309.5833333,1103322.653,1074.583333,2019
"bremerton-silverdale, wa",469325.7381,485.9166667,46.41666667,287.3333333,12,148.6666667,462.8333333,631497.8148,948.75,2019
