,metro_area/city,Per Capita Income,Pop
179,"columbia, mo",30244,123195
180,"columbia, sc",30461,131674
181,"columbus, ga-al",26097,195769
182,"columbus, in",33342,48046
183,"columbus, ms",24162,23573
184,"columbus, ne",29134,23468
185,"columbus, oh",29322,898553
186,"concord, nh",35768,43627
187,"connersville, in",20671,12796
188,"cookeville, tn",23092,34706
189,"coos bay, or",30087,16361
190,"cordele, ga",16746,10521
191,"corinth, ms",26069,14472
192,"cornelia, ga",25708,4375
193,"corning, ny",34232,10538
194,"corpus christi, tx",28025,326586
195,"corsicana, tx",21343,23906
196,"cortland, ny",21948,18670
197,"corvallis, or",30615,58856
198,"coshocton, oh",24340,11051
199,"craig, co",28985,9022
200,"crawfordsville, in",23603,16118
201,"crescent city, ca",12143,6787
202,"crestview-fort walton beach-destin, fl",34562,20680
203,"crossville, tn",22592,11779
204,"cullman, al",26391,16034
205,"cullowhee, nc",9728,6228
206,"cumberland, md-wv",23343,19284
207,"dallas-fort worth-arlington, tx",30831,884004
208,"dalton, ga",23795,33665
209,"danville, il",21055,30479
210,"danville, ky",23235,16769
211,"danville, va",22826,40044
212,"daphne-fairhope-foley, al",34104,23312
213,"davenport-moline-rock island, ia-il",28750,60040
214,"dayton, oh",33622,26869
215,"dayton, tn",19872,140407
216,"decatur, al",17561,7358
217,"decatur, il",27998,54445
218,"decatur, in",26571,70746
219,"defiance, oh",23059,9858
220,"del rio, tx",20660,35760
221,"deltona-daytona beach-ormond beach, fl",27178,68567
222,"deming, nm",17090,13880
223,"denver-aurora-lakewood, co",37628,421478
224,"deridder, la",24920,10588
225,"des moines-west des moines, ia",37393,141068
226,"detroit-warren-dearborn, mi",22789,299302
227,"dickinson, nd",37091,23133
228,"dixon, il",23165,15115
229,"dodge city, ks",22075,27104
230,"dothan, al",28980,68941
231,"douglas, ga",18827,11695
232,"dover, de",25130,38166
233,"dublin, ga",19481,15881
234,"dubois, pa",26473,7364
235,"dubuque, ia",29135,57882
236,"duluth, mn-wi",31216,85618
237,"dumas, tx",24675,13827
238,"duncan, ok",25139,22344
239,"dunn, nc",21180,9718
240,"durango, co",41509,18973
241,"durant, ok",21635,18673
242,"durham-chapel hill, nc",38407,171522
243,"dyersburg, tn",28661,16314
244,"eagle pass, tx",18898,29684
245,"east stroudsburg, pa",26679,10433
246,"easton, md",36362,16671
247,"eau claire, wi",29252,68802
248,"edwards, co",42942,10266
249,"effingham, il",29637,12511
250,"el campo, tx",27783,11539
251,"el centro, ca",19465,44079
252,"el dorado, ar",24370,17651
253,"el paso, tx",22734,681728
254,"elizabeth city, nc",19691,17751
255,"elizabethtown-fort knox, ky",29417,20206
256,"elk city, ok",25603,11577
257,"elkhart-goshen, in",21695,43287
258,"elkins, wv",22338,6990
259,"elko, nv",35270,20452
260,"ellensburg, wa",21266,21111
261,"elmira, ny",18207,27054
262,"emporia, ks",24696,24598
263,"enid, ok",27071,49688
264,"enterprise, al",29585,28376
265,"erie, pa",21599,95508
266,"escanaba, mi",23440,12160
267,"espa–ola, nm",21349,10044
268,"eugene, or",31021,172622
269,"eureka-arcata-fortuna, ca",25871,19133
270,"evanston, wy",26221,11641
271,"evansville, in-ky",24675,117979
272,"fairbanks, ak",31060,30917
273,"fairfield, ia",27974,10425
274,"fairmont, wv",23181,18388
275,"fallon, nv",25003,8645
276,"fargo, nd-mn",35205,124662
277,"faribault-northfield, mn",27554,22319
278,"farmington, mo",21656,19113
279,"farmington, nm",26960,44372
280,"fayetteville, nc",24823,211657
281,"fayetteville-springdale-rogers, ar-mo",29046,79128
282,"fergus falls, mn",29683,13794
283,"fernley, nv",27783,21476
284,"findlay, oh",31237,41225
285,"fitzgerald, ga",14992,8662
286,"flagstaff, az",26954,75038
287,"flint, mi",17086,95538
288,"florence, sc",30530,38531
289,"florence-muscle shoals, al",27343,27686
290,"fond du lac, wi",28311,43263
291,"forest city, nc",19509,7162
292,"forrest city, ar",14742,13820
293,"fort collins, co",34482,170243
294,"fort dodge, ia",24280,23888
295,"fort leonard wood, mo",21277,15061
296,"fort madison-keokuk, ia-il-mo",23890,10239
297,"fort morgan, co",22169,11463
298,"fort polk south, la",19938,9038
299,"fort smith, ar-ok",25487,87891
300,"fort wayne, in",26970,270402
301,"frankfort, in",20975,15884
302,"frankfort, ky",29288,27755
303,"fredericksburg, tx",33577,11496
304,"freeport, il",24576,23775
305,"fremont, ne",26106,26383
306,"fremont, oh",22203,15917
307,"fresno, ca",23564,531576
308,"gadsden, al",21312,35000
309,"gaffney, sc",17543,12609
310,"gainesville, fl",23018,133997
311,"gainesville, ga",26411,43232
312,"gainesville, tx",20574,16886
313,"galesburg, il",21537,30197
314,"gallup, nm",23146,21493
