,metro_area/city,Per Capita Income,Pop
783,"spearfish, sd",32936,11756
784,"spencer, ia",28067,10952
785,"spirit lake, ia",35055,5155
786,"spokane-spokane valley, wa",28651,161570
787,"springfield, il",34607,114230
788,"springfield, ma",21499,153606
789,"springfield, mo",23428,167882
790,"springfield, oh",21715,58877
791,"st. cloud, mn",27183,68462
792,"st. george, ut",28507,89587
793,"st. joseph, mo-ks",25314,74875
794,"st. louis, mo-il",30542,300576
795,"st. marys, ga",29462,18567
796,"starkville, ms",22813,25653
797,"state college, pa",19084,42160
798,"statesboro, ga",14779,32954
799,"staunton-waynesboro, va",28599,23781
800,"steamboat springs, co",46626,13214
801,"stephenville, tx",24810,21247
802,"sterling, co",23133,14495
803,"sterling, il",26067,14463
804,"stevens point, wi",25564,25880
805,"stillwater, ok",22487,50299
806,"stockton-lodi, ca",26514,190141
807,"storm lake, ia",21393,10322
808,"sturgis, mi",19550,10861
809,"sulphur springs, tx",24828,16234
810,"summerville, ga",17374,4320
811,"summit park, ut",62187,7775
812,"sumter, sc",23883,39642
813,"sunbury, pa",21313,9362
814,"susanville, ca",13817,15010
815,"sweetwater, tx",21571,10469
816,"syracuse, ny",23090,142327
817,"tahlequah, ok",21660,16819
818,"talladega-sylacauga, al",20332,13745
819,"tallahassee, fl",27677,194500
820,"tampa-st. petersburg-clearwater, fl",34794,260665
821,"taos, nm",24818,5929
822,"taylorville, il",25257,10360
823,"terre haute, in",20989,60622
824,"texarkana, tx-ar",26279,32987
825,"the dalles, or",27558,15448
826,"the villages, fl",32245,79372
827,"thomaston, ga",19889,8752
828,"thomasville, ga",24313,18518
829,"tiffin, oh",22958,17582
830,"tifton, ga",19775,16838
831,"toccoa, ga",22525,8336
832,"toledo, oh",22438,272779
833,"topeka, ks",27968,125310
834,"torrington, ct",32881,34044
835,"traverse city, mi",37814,15738
836,"trenton, nj",19281,83203
837,"troy, al",22411,18957
838,"truckee-grass valley, ca",39346,14776
839,"tucson, az",23655,548073
840,"tullahoma-manchester, tn",26817,15296
841,"tulsa, ok",30970,401190
842,"tupelo, ms",27501,38312
843,"tuscaloosa, al",26437,101129
844,"twin falls, id",24933,50197
845,"tyler, tx",29335,106985
846,"ukiah, ca",27116,15995
847,"union city, tn-ky",30812,8179
848,"urban honolulu, hi",37834,345064
849,"urbana, oh",22973,11404
850,"utica-rome, ny",24067,45949
851,"uvalde, tx",18950,16001
852,"valdosta, ga",21559,56457
853,"vallejo-fairfield, ca",33250,119412
854,"valley, al",23404,9141
855,"van wert, oh",23644,10676
856,"vermillion, sd",25612,10926
857,"vernal, ut",22847,10438
858,"vernon, tx",22684,10323
859,"vicksburg, ms",22392,21653
860,"victoria, tx",28532,66916
861,"vidalia, ga",29732,10402
862,"vincennes, in",21988,16862
863,"vineland-bridgeton, nj",21339,41799
864,"vineyard haven, ma",36705,2123
865,"virginia beach-norfolk-newport news, va-nc",31966,290647
866,"visalia-porterville, ca",22891,97102
867,"wabash, in",27149,30996
868,"waco, tx",22461,139236
869,"wahpeton, nd-mn",25535,7734
870,"walla walla, wa",25599,32900
871,"wapakoneta, oh",27231,9698
872,"warner robins, ga",27097,77617
873,"warren, pa",27776,9049
874,"warrensburg, mo",23678,20418
875,"warsaw, in",26076,15150
876,"washington court house, oh",24498,14091
877,"washington, in",21175,12528
878,"washington, nc",24652,9497
879,"washington-arlington-alexandria, dc-va-md-wv",63555,357601
880,"waterloo-cedar falls, ia",31247,53932
881,"watertown, sd",28902,22174
882,"watertown-fort atkinson, wi",27768,17950
883,"watertown-fort drum, ny",21624,18896
884,"wauchula, fl",20543,4803
885,"wausau, wi",30593,38561
886,"waycross, ga",18264,13480
887,"weatherford, ok",24983,12017
888,"weirton-steubenville, wv-oh",24489,18009
889,"wenatchee, wa",28630,34360
890,"west plains, mo",22764,12304
891,"wheeling, wv-oh",30615,26430
892,"whitewater-elkhorn, wi",22173,12457
893,"wichita falls, tx",24330,104683
894,"wichita, ks",28806,389938
895,"williamsport, pa",24358,28186
896,"williston, nd",43515,29033
897,"willmar, mn",24682,19869
898,"wilmington, nc",31846,123744
899,"wilmington, oh",23723,12366
900,"wilson, nc",24444,49459
901,"winchester, va-wv",30859,28078
902,"winnemucca, nv",39332,7754
903,"winona, mn",27540,26594
904,"winston-salem, nc",28821,247945
905,"wisconsin rapids-marshfield, wi",30242,18040
906,"woodward, ok",27414,12121
907,"wooster, oh",27338,26394
908,"worcester, ma-ct",27884,185428
909,"worthington, mn",22259,13099
910,"yakima, wa",23514,93637
911,"yankton, sd",30204,14687
912,"york-hanover, pa",23276,29825
913,"youngstown-warren-boardman, oh-pa",23098,46532
914,"yuba city, ca",26278,67010
915,"yuma, az",23613,98285
916,"zanesville, oh",19073,25158
917,"zapata, tx",18217,5089
